dt,comptime,Phe_Bid,Phe_Ask,Phe_chng,Phe_bid_chng,Phe_ask_chng,phe_sig,Phe_diff,coin_price
01/10/2023 23:23:14,1673389394,34468.026740000016,51519.14564,,-0.231,-0.055,SHORT,33.097,17438.0
01/10/2023 23:23:44,1673389424,35176.41302000003,52610.58571000001,,0.02,0.021,SHORT,33.138,17438.0
01/10/2023 23:24:14,1673389454,31762.57105,48766.47332999999,,-0.107,-0.079,SHORT,34.868,17437.1
01/10/2023 23:24:44,1673389484,33637.19449,28170.113650000003,,0.056,-0.731,LONG,16.253,17436.6
01/10/2023 23:25:15,1673389515,36600.21181000001,30857.013650000004,,0.081,0.087,LONG,15.692,17436.7
01/10/2023 23:25:45,1673389545,41106.69120000002,48087.96016,,0.11,0.358,SHORT,14.518,17436.6
01/10/2023 23:26:15,1673389575,33225.08406,48299.62023,,-0.237,0.004,SHORT,31.21,17436.7
01/10/2023 23:26:45,1673389605,30405.59886,47075.487680000006,,-0.093,-0.026,SHORT,35.411,17430.1
01/10/2023 23:27:15,1673389635,18853.50720999999,49230.17298000002,,-0.613,0.044,SHORT,61.703,17423.8
01/10/2023 23:27:45,1673389665,46139.89237999998,44539.589660000005,,0.591,-0.105,LONG,3.468,17420.4
01/10/2023 23:28:14,1673389694,34508.80843,37024.09595000001,,-0.337,-0.203,SHORT,6.794,17428.1
01/10/2023 23:28:44,1673389724,35107.141589999985,33361.14048000001,,0.017,-0.11,LONG,4.973,17428.8
01/10/2023 23:29:14,1673389754,38602.87735,44491.92461,,0.091,0.25,SHORT,13.236,17430.6
01/10/2023 23:29:44,1673389784,45529.01422000001,48182.925350000005,,0.152,0.077,SHORT,5.508,17436.6
01/10/2023 23:30:15,1673389815,35640.61803000001,48498.185670000006,,-0.277,0.007,SHORT,26.511,17436.6
01/10/2023 23:30:46,1673389846,35220.49948000002,48607.62505000002,,-0.012,0.002,SHORT,27.541,17436.5
01/10/2023 23:31:16,1673389876,31971.749300000007,95493.93280999995,,-0.102,0.491,SHORT,66.52,17436.5
01/10/2023 23:31:46,1673389906,32438.05033000001,93151.65556,,0.014,-0.025,SHORT,65.177,17436.4
01/10/2023 23:32:17,1673389937,33623.05619000002,84839.50111999999,,0.035,-0.098,SHORT,60.369,17436.4
01/10/2023 23:32:47,1673389967,35870.83151000001,85997.92023999998,,0.063,0.013,SHORT,58.289,17436.4
01/10/2023 23:33:17,1673389997,36795.15653000001,62980.46684999998,,0.025,-0.365,SHORT,41.577,17436.5
01/10/2023 23:33:47,1673390027,35401.877380000005,78642.04645999998,,-0.039,0.199,SHORT,54.984,17436.5
01/10/2023 23:34:17,1673390057,37924.668180000015,75695.62080000002,,0.067,-0.039,SHORT,49.898,17436.5
01/10/2023 23:34:47,1673390087,28039.62326,76229.78468999999,,-0.353,0.007,SHORT,63.217,17436.5
01/10/2023 23:35:17,1673390117,49417.21975,63241.34348999998,,0.433,-0.205,SHORT,21.859,17433.6
01/10/2023 23:35:48,1673390148,48921.24307000001,59773.00839999998,,-0.01,-0.058,SHORT,18.155,17433.6
01/10/2023 23:36:18,1673390178,35293.20250000001,76223.68038999995,,-0.386,0.216,SHORT,53.698,17433.5
01/10/2023 23:36:48,1673390208,30301.55019999999,78475.59556999998,,-0.165,0.029,SHORT,61.387,17433.5
01/10/2023 23:37:18,1673390238,26989.263719999995,79037.94237,,-0.123,0.007,SHORT,65.853,17432.7
01/10/2023 23:37:48,1673390268,46227.14842000001,65492.85613000001,,0.416,-0.207,SHORT,29.417,17428.4
01/10/2023 23:38:18,1673390298,35444.59946000001,53751.83325,,-0.304,-0.218,SHORT,34.059,17429.7
01/10/2023 23:38:48,1673390328,27457.18948999999,74813.59867000002,,-0.291,0.282,SHORT,63.299,17429.6
01/10/2023 23:39:17,1673390357,35765.939000000006,74823.76618,,0.232,0.0,SHORT,52.2,17429.6
01/10/2023 23:39:47,1673390387,28533.75839999998,75265.83343999999,,-0.253,0.006,SHORT,62.089,17429.7
01/10/2023 23:40:18,1673390418,27884.541559999983,64754.373430000014,,-0.023,-0.162,SHORT,56.938,17424.4
01/10/2023 23:40:48,1673390448,32551.347389999995,74252.71674999999,,0.143,0.128,SHORT,56.161,17421.7
